episode,step,total_waiting_time,total_queue_length,avg_loss
1,0,0.0,0,0
1,100,130.0,13,139.02136364037514
1,200,178.0,24,1219.4808302294496
1,300,177.0,22,1169.706954977688
1,400,243.0,26,795.5945952184379
1,500,431.0,27,243.22168723826354
1,600,685.0,31,262.57623157613534
1,700,821.0,56,1119.0255206006468
1,800,718.0,36,2290.490153949297
1,900,829.0,51,1952.0878055979817
1,1000,1606.0,59,1661.1218051826552
1,1100,4073.0,82,73561.69479682145
1,1200,11116.0,89,125893.07282654983
1,1300,19750.0,88,428436.79051288083
1,1400,28431.0,89,832051.4622094185
1,1500,37180.0,92,1627365.6301477193
1,1600,46059.0,92,3176799.6052768384
1,1700,55373.0,97,5353173.637096572
1,1800,65957.0,113,7803223.266985233
1,1900,77430.0,120,12198863.694351718
1,2000,89223.0,123,16226808.363712968
1,2100,101897.0,129,103258971.85000056
1,2200,114958.0,132,62635608.622227676
1,2300,128313.0,139,43040320.28000006
1,2400,142438.0,143,42235586.99132965
1,2500,156927.0,147,42941120.2006273
1,2600,171825.0,153,46821041.35437502
1,2700,187462.0,159,51855878.07375018
1,2800,203596.0,164,55524818.796290815
1,2900,220216.0,167,56450780.50379274
1,3000,237283.0,173,61245403.27761746
1,3100,254913.0,180,693815579.6000001
1,3200,272930.0,181,332430884.58008087
1,3300,291422.0,189,178551423.60000238
1,3400,310323.0,190,172027550.18008164
1,3500,329323.0,190,167128300.17757866
2,0,0.0,0,181728900.0000021
2,100,140.0,14,145409753.30625
2,200,212.0,19,113809156.03886834
2,300,173.0,22,101090228.71144728
2,400,141.0,23,97541196.00882927
2,500,166.0,17,1133460017.3600395
2,600,457.0,26,330608519.8900395
2,700,529.0,37,167709930.11753932
2,800,445.0,31,128865405.1051566
2,900,759.0,49,102467353.3750792
2,1000,868.0,46,89491039.6369152
2,1100,2159.0,47,78857157.89750043
2,1200,4078.0,57,73223899.99507913
2,1300,6294.0,65,70815396.85625029
2,1400,2579.0,64,71899673.84375
2,1500,683.0,52,842783304.8800004
2,1600,1879.0,51,159919160.87019515
2,1700,3691.0,46,113439013.3656253
2,1800,3779.0,78,73672404.06449488
2,1900,2443.0,72,65779935.42816451
2,2000,5858.0,88,63666676.36003914
2,2100,9817.0,89,59684067.866875105
2,2200,10535.0,84,59049189.67316443
2,2300,7319.0,91,55411345.14628937
2,2400,5762.0,93,60050145.851289585
2,2500,7413.0,97,630955295.8400394
2,2600,17130.0,107,139526030.52519637
2,2700,27562.0,108,84155985.71820356
2,2800,38555.0,111,68662079.00445347
2,2900,50325.0,121,73612776.1089075
2,3000,62544.0,124,62243481.68129033
2,3100,75040.0,128,60543329.30882843
2,3200,88285.0,135,65306740.91378977
2,3300,102046.0,141,55129721.863867864
2,3400,116146.0,141,52700317.56503964
2,3500,130341.0,142,568538547.6200397
3,0,0.0,0,131018308.80000046
3,100,127.0,14,89598372.41261818
3,200,442.0,24,70239018.33640787
3,300,324.0,27,62514548.93757853
3,400,252.0,24,59271879.93632886
3,500,240.0,25,49311786.42253972
3,600,253.0,32,47062071.3112894
3,700,2106.0,48,44449331.82128907
3,800,3887.0,54,43047166.74878921
3,900,859.0,52,416720931.38007843
3,1000,1914.0,53,105292533.59500025
3,1100,1856.0,40,72733363.65507881
3,1200,2160.0,60,58757740.88378952
3,1300,5604.0,69,52278979.34507865
3,1400,2773.0,59,49571233.86015731
3,1500,6487.0,80,46430133.821367934
3,1600,13021.0,90,54835106.52328133
3,1700,20732.0,111,61455038.843867205
3,1800,9927.0,109,58729485.8625392
3,1900,3476.0,75,329376081.2500789
3,2000,2800.0,84,117001268.84628929
3,2100,6922.0,77,83354323.93628947
3,2200,8547.0,74,67029037.72750006
3,2300,2618.0,84,59998018.040039025
3,2400,10174.0,104,57522143.00753928
3,2500,21270.0,116,52671880.99320316
3,2600,33029.0,121,49990590.308828585
3,2700,45400.0,126,51873590.136289164
3,2800,58221.0,132,54842042.28632876
3,2900,72078.0,140,255697193.28003937
3,3000,86523.0,147,95264478.4550392
3,3100,101608.0,156,73914531.33503939
3,3200,117557.0,161,56966889.27007906
3,3300,133927.0,167,55513170.29503922
3,3400,150627.0,167,52584490.98757805
3,3500,167425.0,168,48095390.04503942
4,0,0.0,0,51314220.00000063
4,100,132.0,14,56660488.36757853
4,200,158.0,17,48531400.63011729
4,300,176.0,23,289550259.59003925
4,400,110.0,16,88219205.74515648
4,500,637.0,18,67195473.68000017
4,600,479.0,26,56101251.58003922
4,700,427.0,30,56855146.68000023
4,800,807.0,25,49169431.32507853
4,900,447.0,28,47707616.697539166
4,1000,947.0,46,48038599.525157236
4,1100,818.0,51,41798556.94382842
4,1200,950.0,64,44541641.7837892
4,1300,1460.0,44,233821710.17515618
4,1400,400.0,33,87834409.76253946
4,1500,1549.0,49,58747376.61015634
4,1600,4094.0,57,53608427.18519593
4,1700,6724.0,66,47934437.6050391
4,1800,6264.0,66,49582273.79757901
4,1900,10105.0,66,45667817.5400395
4,2000,17151.0,85,43231231.480039395
4,2100,25416.0,99,45274662.845000036
4,2200,35416.0,105,44250734.99503946
4,2300,46399.0,119,227483985.30007842
4,2400,58327.0,124,65721262.79257791
4,2500,70877.0,130,59571154.435078524
4,2600,84330.0,140,53008185.01250001
4,2700,98514.0,145,58612639.1100393
4,2800,113296.0,151,50063143.573789254
4,2900,128771.0,158,58453203.81136764
4,3000,144928.0,163,55071094.870078154
4,3100,161541.0,170,56704087.745078474
4,3200,178617.0,172,56751101.47257836
4,3300,196187.0,180,182192900.08003968
4,3400,214268.0,181,82017356.79257809
4,3500,232467.0,182,78241967.8875783
5,0,0.0,0,88308343.00077666
5,100,129.0,13,64171032.53253931
5,200,312.0,15,58901579.90011757
5,300,150.0,19,58346585.566328265
5,400,316.0,24,53632524.18378971
5,500,306.0,18,56580630.916367605
5,600,339.0,23,49060731.59636699
5,700,786.0,43,185871903.8900392
5,800,740.0,33,78176768.33757876
5,900,416.0,27,63136403.0125784
5,1000,2014.0,48,62107775.24507819
5,1100,1317.0,61,56251590.1950391
5,1200,6415.0,80,53087940.00875018
5,1300,12568.0,83,62217598.766250126
5,1400,6869.0,71,52907686.03500001
5,1500,1247.0,73,54036415.6637502
5,1600,5277.0,74,48165413.79878913
5,1700,10580.0,81,189392994.31003898
5,1800,17560.0,97,81909161.87761754
5,1900,27645.0,123,71305076.32000004
5,2000,39877.0,126,66877255.76136759
5,2100,53422.0,144,69732074.65562564
5,2200,67765.0,144,86844953.81515694
5,2300,82219.0,146,93858080.44503921
5,2400,96762.0,147,86450285.8576571
5,2500,111688.0,151,88267151.38757864
5,2600,126916.0,155,88292599.04699224
5,2700,142532.0,159,201886931.1300786
5,2800,158625.0,162,114916868.09253924
5,2900,174998.0,165,94803771.78625007
