episode,total_reward,avg_reward_per_junction,epsilon,duration
1,-373836368.0,-74767273.6,0.997,215.42796230316162
2,-85778126.0,-17155625.2,0.994009,269.2812397480011
3,-118466099.5,-23693219.9,0.991026973,261.0649411678314
4,-196594736.0,-39318947.2,0.988053892081,200.15064191818237
5,-271548800.5,-54309760.1,0.985089730404757,207.01171112060547
6,-108289927.0,-21657985.4,0.9821344612135428,197.44930982589722
7,-239340571.5,-47868114.3,0.9791880578299021,205.8571057319641
8,-139496142.0,-27899228.4,0.9762504936564125,205.60225439071655
9,-341666197.0,-68333239.4,0.9733217421754432,225.58742570877075
10,-140421375.5,-28084275.1,0.9704017769489168,206.53851532936096
