episode,junction_id,avg_waiting_time,total_waiting_time
1,cluster_2392827755_2444914045_9887274026,0.0,0.0
1,cluster_2392636248_5701984707,14782.070555555556,53215454.0
1,cluster_2448160324_6956757746,34610.696388888886,124598507.0
1,cluster_5704440437_6952915242,82909.94416666667,298475799.0
1,cluster_11187780370_538604288_5702189609_6950414916,18916.49472222222,68099381.0
2,cluster_2392827755_2444914045_9887274026,0.0,0.0
2,cluster_2392636248_5701984707,14782.070555555556,53215454.0
2,cluster_2448160324_6956757746,34610.696388888886,124598507.0
2,cluster_5704440437_6952915242,82909.94416666667,298475799.0
2,cluster_11187780370_538604288_5702189609_6950414916,18916.49472222222,68099381.0
3,cluster_2392827755_2444914045_9887274026,0.0,0.0
3,cluster_2392636248_5701984707,14782.070555555556,53215454.0
3,cluster_2448160324_6956757746,34610.696388888886,124598507.0
3,cluster_5704440437_6952915242,82909.94416666667,298475799.0
3,cluster_11187780370_538604288_5702189609_6950414916,18916.49472222222,68099381.0
4,cluster_2392827755_2444914045_9887274026,0.0,0.0
4,cluster_2392636248_5701984707,14782.070555555556,53215454.0
4,cluster_2448160324_6956757746,34610.696388888886,124598507.0
4,cluster_5704440437_6952915242,82909.94416666667,298475799.0
4,cluster_11187780370_538604288_5702189609_6950414916,18916.49472222222,68099381.0
5,cluster_2392827755_2444914045_9887274026,0.0,0.0
5,cluster_2392636248_5701984707,14782.070555555556,53215454.0
5,cluster_2448160324_6956757746,34610.696388888886,124598507.0
5,cluster_5704440437_6952915242,82909.94416666667,298475799.0
5,cluster_11187780370_538604288_5702189609_6950414916,18916.49472222222,68099381.0
