episode,step,total_waiting_time,total_queue_length,avg_loss
1,0,0.0,0,0
1,100,110.0,5,325.8267832053335
1,200,119.0,7,1280.5385083007814
1,300,30.0,3,908.1484197998047
1,400,105.0,6,578.1813166809083
1,500,194.0,4,264.4334741973877
1,600,827.0,16,405.43521259307863
1,700,2304.0,24,2992.8399937057493
1,800,5055.0,35,44001.90652282715
1,900,8551.0,36,184106.90171386718
1,1000,12222.0,39,345294.024921875
1,1100,16257.0,43,5586322.997421875
1,1200,21067.0,53,3833864.8946875
1,1300,26730.0,58,2791263.715
1,1400,32785.0,64,3617504.0
1,1500,39342.0,66,5115537.7825
1,1600,45971.0,67,8069878.19859375
1,1700,52915.0,72,11752775.1275
1,1800,60392.0,77,15957014.385
1,1900,68201.0,80,22904958.54
1,2000,76321.0,82,30936634.6825
1,2100,84668.0,85,214791102.115
1,2200,93210.0,86,147073717.76
1,2300,102039.0,89,86746953.38
1,2400,110939.0,89,88286306.54
1,2500,119932.0,90,95938682.88
1,2600,128996.0,91,110520624.0
1,2700,138177.0,92,126501245.56
1,2800,147559.0,96,146493906.54
1,2900,157255.0,100,169910183.94
1,3000,167375.0,103,186206413.84
1,3100,177696.0,104,1128788926.08
1,3200,188111.0,105,722432357.12
1,3300,198734.0,108,373421735.36
1,3400,209554.0,109,346683410.4
1,3500,220535.0,111,329438518.88
2,0,0.0,0,310979416.0
2,100,22.0,2,277583950.72
2,200,100.0,5,247561134.88
2,300,68.0,8,218444599.68
2,400,145.0,5,204609352.64
2,500,90.0,6,1671473504.8
2,600,348.0,10,721112352.96
2,700,1146.0,17,352400762.56
2,800,3066.0,27,274110798.96
2,900,5443.0,26,217516925.6
2,1000,8150.0,29,179816612.56
2,1100,11180.0,33,168139724.2
2,1200,14919.0,42,156245980.4
2,1300,19577.0,49,155129259.8
2,1400,24722.0,55,147483418.0
2,1500,30378.0,57,1294441899.04
2,1600,36105.0,58,431969149.92
2,1700,42141.0,63,256479045.28
2,1800,48701.0,68,192453321.92
2,1900,55606.0,71,156724236.96
