episode,total_reward,avg_reward_per_junction,epsilon,duration
1,-282919260.0,-141459630.0,0.997,113.36342477798462
2,-238867899.0,-119433949.5,0.994009,112.71913456916809
3,-286693289.0,-143346644.5,0.991026973,113.70062613487244
4,-310551370.5,-155275685.25,0.988053892081,113.13499212265015
5,-281169020.0,-140584510.0,0.985089730404757,114.281329870224
6,-275093566.5,-137546783.25,0.9821344612135428,114.7852463722229
7,-258704694.5,-129352347.25,0.9791880578299021,114.0183355808258
8,-293981186.5,-146990593.25,0.9762504936564125,114.92927575111389
9,-263931427.0,-131965713.5,0.9733217421754432,114.47019171714783
10,-253061339.5,-126530669.75,0.9704017769489168,114.20614075660706
11,-248704547.5,-124352273.75,0.9674905716180701,116.45304656028748
12,-289657450.5,-144828725.25,0.9645880999032158,115.09812784194946
13,-250905897.5,-125452948.75,0.9616943356035061,116.05403256416321
14,-243650702.0,-121825351.0,0.9588092525966956,117.02347302436829
15,-264382772.0,-132191386.0,0.9559328248389055,116.0944242477417
16,-254114979.5,-127057489.75,0.9530650263643888,115.8649492263794
17,-248192315.0,-124096157.5,0.9502058312852957,117.2359688282013
18,-269016467.0,-134508233.5,0.9473552137914398,116.32312798500061
19,-244182729.0,-122091364.5,0.9445131481500655,116.30716133117676
20,-308651595.0,-154325797.5,0.9416796087056153,119.34803509712219
21,-290000795.5,-145000397.75,0.9388545698794984,118.95370411872864
22,-252966179.5,-126483089.75,0.93603800616986,118.15086603164673
23,-311580931.5,-155790465.75,0.9332298921513504,119.67055082321167
24,-252266940.0,-126133470.0,0.9304302024748964,117.8668224811554
25,-266280602.0,-133140301.0,0.9276389118674717,119.11659383773804
26,-269725039.5,-134862519.75,0.9248559951318693,118.50943088531494
27,-243123496.0,-121561748.0,0.9220814271464737,117.79531526565552
28,-257002059.0,-128501029.5,0.9193151828650342,119.04052519798279
29,-242994207.5,-121497103.75,0.9165572373164391,119.29339742660522
30,-274847230.0,-137423615.0,0.9138075656044898,118.99299955368042
31,-261963698.0,-130981849.0,0.9110661429076764,118.01213192939758
32,-248726035.0,-124363017.5,0.9083329444789534,118.41508531570435
33,-257725871.0,-128862935.5,0.9056079456455165,117.98129105567932
34,-257749287.0,-128874643.5,0.90289112180858,117.82425904273987
35,-269818160.0,-134909080.0,0.9001824484431542,118.46018123626709
36,-273317527.5,-136658763.75,0.8974819010978248,123.25735235214233
37,-273473375.5,-136736687.75,0.8947894553945313,118.71383166313171
38,-291682566.5,-145841283.25,0.8921050870283477,119.2370252609253
39,-265016841.5,-132508420.75,0.8894287717672626,118.85727190971375
