episode,junction_id,avg_waiting_time,total_waiting_time
1,cluster_6098633245_6975349630_6975349631,29630.413333333334,106669488.0
1,cluster_12637978186_12637992859_12663377950_305427579,36121.324166666665,130036767.0
2,cluster_6098633245_6975349630_6975349631,29630.413333333334,106669488.0
2,cluster_12637978186_12637992859_12663377950_305427579,36121.324166666665,130036767.0
3,cluster_6098633245_6975349630_6975349631,29630.413333333334,106669488.0
3,cluster_12637978186_12637992859_12663377950_305427579,36121.324166666665,130036767.0
4,cluster_6098633245_6975349630_6975349631,29630.413333333334,106669488.0
4,cluster_12637978186_12637992859_12663377950_305427579,36121.324166666665,130036767.0
5,cluster_6098633245_6975349630_6975349631,29630.413333333334,106669488.0
5,cluster_12637978186_12637992859_12663377950_305427579,36121.324166666665,130036767.0
