episode,junction_id,avg_waiting_time,total_waiting_time
1,cluster_6098633245_6975349630_6975349631,29662.29111111111,106784248.0
1,cluster_12637978186_12637992859_12663377950_305427579,43157.19305555556,155365895.0
2,cluster_6098633245_6975349630_6975349631,29662.29111111111,106784248.0
2,cluster_12637978186_12637992859_12663377950_305427579,43157.19305555556,155365895.0
3,cluster_6098633245_6975349630_6975349631,29662.29111111111,106784248.0
3,cluster_12637978186_12637992859_12663377950_305427579,43157.19305555556,155365895.0
4,cluster_6098633245_6975349630_6975349631,29662.29111111111,106784248.0
4,cluster_12637978186_12637992859_12663377950_305427579,43157.19305555556,155365895.0
5,cluster_6098633245_6975349630_6975349631,29662.29111111111,106784248.0
5,cluster_12637978186_12637992859_12663377950_305427579,43157.19305555556,155365895.0
